Virus,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51,TP52,TP53,TP54,TP55,TP56,TP57,TP58,TP59,TP60,TP61,TP62,TP63,TP64,TP65,TP66,TP67,TP68,TP69,TP70,TP71,TP72,TP73,TP74,TP75,TP76,TP77,TP78,TP79,TP80,TP81,TP82,TP83,TP84,TP85,TP86,TP87,TP88,TP89,TP90,TP91,TP92,TP93,TP94,TP95,TP96,TP97,TP98,TP99,TP100,TP101,TP102,TP103,TP104,TP105,TP106,TP107
TTV-AMS-S1-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035464445,0.020864832,0.005976821,0.003015763,0.005350723,0,0.015110483,0,0.00764913,0.009224321,0.017454972,0.005373224,0,0,0,0,0.008585837,0,0.034153564,0.037359862,0,0.008412121,0.043526807,0,0,0.011470158,0,0.01317754,0.001451969,0.001748874,0.017763313,0.025763405,0.000629875,0.007354841,0.00182305,0.009887421,0.022427384,0,0.009911513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029019276,0,0,0.063032606,0.033159793,0.035882098,0.073813359,0.102675235,0.118239443,0.096150231,0.021083367,0,0.048309288,0.126405206,0,0.071048713,0.123430762,0.0159277,0.01149175,0.019227408,0.030804757,0,0.019259698,0.02516746,0.002773512,0.080260365,0.035482534,0.001123205,0.05641008,0.007109049,0.001613295,0.176643991,0.097491639,0.015305247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256987581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018639746,0
TTV-AMS-S1-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739687118,0,0,0.000211676,0.175294588,0.002255294,0.000481109,0.129048432,0.94605535,0.000964569,0.673361926,0.013462227,0.006198035,0.100334448,0.477412541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029301445,0,0,0,0,0,0,0,0,0,0,0.155142112,0,0,0,0.204711452,0.126872796,0,0.146777281,0.071978683,0,0,0,0.033686492,0,0.244206426,0.040022715,0.009719999,0.080595255,0.141737294,0.005646856,0.096353584,0.023508024,0.183995476,0.150631681,0.215719064,0.044338257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-14,0,0,0,0,0,0,0,0.212849162,0,0,0,0,0,0,0,0,0,0,0,0,0.01339114,0,0,0,0,0,0.006516056,0,0,0,0,0,0,0,0,0,0.019570304,0,0.134731739,0,0,0,0,0,0,0.001082723,0,0,0,0,0.002280933,0,0,0,0.007912343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-15,0.002759234,0.040230411,0.009588749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012008864,0.0062023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-16,0,0,0,0,0,0,0,0,0,0,0,0,0.010873286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009769705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02375852,0,0,0,0.021520928,0,0.001171263,0,0,0,0,0.015941608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010890747,0,0,0,0,0,0,0,0.003273131,0,0,0,0,0,0,0.006459062,0,0.019747964,0,3.26723E-05,0,0.018763318,0.000515353,0,0.001989245,0.009999233,0,0.036120401,0.002556944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-18,0,0,0,0,0,0,0.002042707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011331885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004689326,0,0,0,0,0.026795906,0,0,0,0,0.003958163,0,0,8.14619E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-19,0,0,0,0,0.009769213,0,0.018866488,0.102793296,0,0,0,0,0.014256086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425978,0,0,0,0.011396768,0,0,0.032478033,0,0,0.012226676,0,0.170910462,0,0,0,0.036834455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-20,0,0,0,0,0,0,0,0,0,0,0,0.022284725,0,0,0,0,0,0,0.004586175,0,0,0,0,0,0.015196271,0,0,0.001478615,0,0,0,0,0,0,0,0,0,0,0,0.042976799,0,0.007571062,0,0,0,0.000570857,0,0,0,0,0.001594109,0.001587738,0,0,0.010099355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013642106,0,0.011331725,0,0.001456638,0.027512853,0,0.000616661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTV-AMS-S1-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003970046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005942292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
